,Ticket Number,Date Created,Subject,From,From Email,Priority,Department,Type,Source,Current Status,Last Updated,Due Date,Overdue,Answered,Agent Assigned,Team Assigned,Thread Count,Attachment Count,Category,Issue Origin,Select Ticket Status Update,SLA DUE DATE,Breached SLA,
0,111636,3/12/21 9:57,Error Displaying in Different Module,Jasper John,jasper.john@gmail.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,3/24/21 17:19,3/12/21 13:57,0,1,Jared Smith,SAP Support Team,16,2,PROD,PRODUCTION,New Ticket,03/12/2021 00:00,NO,
1,111632,3/10/21 16:21,Approval Workflow Error,Erick White,ewhite@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/18/21 17:16,3/15/21 16:21,1,1,Mark Jikkins,JDE Support Team,28,6,PROD,PRODUCTION,New Ticket,10/03/2021 00:00,NO,
2,111621,2/22/21 12:08,Public IP Trusted Certificate Authority Error,Tomi Yamamoto,tyamamoto@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,3/5/21 14:40,2/23/21 0:08,0,1,Jared Smith,Network Team,5,1,PROD,PRODUCTION,New Ticket,22/02/2021 00:00,NO,
3,111608,2/15/21 11:41,JDE Slowdown ,Riza Richardson,rrichardson@mailinator.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/21 17:40,2/15/21 23:41,0,1,Jared Smith,JDE Support Team,12,1,PROD,PRODUCTION,Close Ticket,15/02/2021 00:00,NO,
4,111596,1/22/21 10:58,JDE Slow Down,Riza Richardson,rrichardson@mailinator.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/29/21 17:19,1/22/21 22:58,0,1,Jared Smith,JDE Support Team,7,1,PROD,PRODUCTION,Close Ticket,22/01/2021 00:00,NO,
5,111491,8/20/20 9:36,ERROR 504 GATEWAY TIMEOUT AGAIN,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/15/21 16:37,8/20/20 21:36,0,1,Jared Smith,SAP Support Team,11,1,PROD,PRODUCTION,Close Ticket,20/08/2020 00:00,NO,
6,111571,12/10/20 9:35,11/25/2020 8:34PM LOGIN ISSUE ,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/21 17:49,12/10/20 21:35,0,1,Jared Smith,SAP Support Team,5,4,PROD,PRODUCTION,Open ,10/12/2020 00:00,NO,
7,111572,12/10/20 9:37,11/25/2020 1:41PM LOGIN ISSUE ,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/21 17:48,12/10/20 21:37,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,10/12/2020 00:00,NO,
8,111573,12/10/20 9:49,11/26/2020 9:10PM LOGIN ISSUE ,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/21 17:47,12/10/20 21:49,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,10/12/2020 00:00,NO,
9,111575,12/10/20 9:59,"12/01/2020 12:00PM ""bea.jolt"" login error",Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/21 17:45,12/10/20 21:59,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,10/12/2020 00:00,NO,
10,111576,12/10/20 10:04,12/03/2020 7:45-7:55 Slow Performance,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/21 17:44,12/10/20 22:04,0,1,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open ,10/12/2020 00:00,NO,
11,111581,12/18/20 10:17,HR Technical Analyzer in TEST,Kian Rogers,krogers@mailinator.com,Emergency,SAP JDE Support Department,Request,Web,Closed,1/4/21 12:02,12/18/20 22:17,0,1,Jared Smith,JDE Support Team,9,2,NON-PROD,TEST,Close Ticket,No SLA for Request,YES,
12,111586,12/23/20 15:17,Open VPN Authenticator App Setup,Kenex Willows,kwillows@yahoo.com,Emergency,SAP JDE Support Department,Request,Web,Closed,12/28/20 17:37,12/24/20 3:17,0,1,Jared Smith,JDE Support Team,7,0,PROD,PRODUCTION,Close Ticket,No SLA for Request,YES,
13,111564,11/25/20 15:51,LOGIN ISSUE,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,12/10/20 17:15,11/26/20 3:51,0,1,Stellar Murad,SAP Support Team,5,1,PROD,PRODUCTION,New Ticket,25/11/2020 00:00,NO,
14,111550,11/10/20 10:49,Can't Access PROD Instance,Riza Richardson,rrichardson@mailinator.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,11/16/20 14:59,11/10/20 22:49,0,1,Jared Smith,JDE Support Team,8,1,PROD,PRODUCTION,Close Ticket,10/11/2020 00:00,NO,
15,111530,10/8/20 17:29,Absence Duration,Kian Rogers,krogers@mailinator.com,Emergency,SAP JDE Support Department,Request,Web,Closed,10/16/20 13:55,10/9/20 5:29,0,1,Jared Smith,JDE Support Team,13,1,NON-PROD,TEST,Close Ticket,No SLA for Request,YES,
16,111511,9/28/20 14:53,Requesting a Server for Deployment,Jane Wilberts,jwilberts@mailinator.com,Emergency,Internal Technical Department,Request,Email,Closed,10/7/20 13:57,9/28/20 18:53,0,1,Jared Smith,Network Team,5,0,PROD,DEVELOPMENT,New Ticket,No SLA for Request,YES,
